"","chromosome","genesymbol","position","clustersize"
"166917","chr19","EIF3K",38619282,1
"166919","chr19","EIF3K",38632493,1
"166920","chr19","EIF3K",38635119,19
"166926","chr19","EIF3K",38624198,1
"166928","chr19","LGALS7B",38791741,1
"166929","chr19","NFKBIB",38908743,1
"166930","chr19","NFKBIB",38908813,1
"166931","chr19","PLEKHG2",39428399,1
"166932","chr19",NA,39433557,1
"166933","chr19","SUPT5H",39476629,2
"166934","chr19","SUPT5H",39476656,1
"166935","chr19","DLL3",39508481,2
"166937","chr19",NA,39558343,1
"166938","chr19",NA,39948805,1
"166939","chr19",NA,39953796,1
"166940","chr19","PSMC4",39972437,2
"166941","chr19","PSMC4",39974571,1
"166942","chr19","SHKBP1",40580863,2
"166943","chr19","SNRPA",40763646,1
"166944","chr19","MIA-RAB4B",40778392,1
"166945","chr19","RPL36P16",41170232,7
"166947","chr19","HNRNPUL1",41263070,4
"166948","chr19","HNRNPUL1",41307591,12
"166949","chr19","HNRNPUL1",41307048,23
"166956","chr19","HNRNPUL1",41307619,16
"166962","chr19","HNRNPUL1",41307694,2
"166966","chr19","CCDC97",41324887,3
"166967","chr19","TMEM91",41392624,1
"166968","chr19","BCKDHA",41424989,4
"166969","chr19","TPM3P5",41508199,22
"166974","chr19","TPM3P5",41506694,1
"166976","chr19",NA,41551119,67
"166977","chr19","CEACAM21",41551119,67
"166980","chr19","CEACAM21",41555264,16
"166983","chr19","CEACAM21",41556023,1
"167003","chr19","CEACAM21",41551178,4
"167015","chr19","CEACAM21",41566821,7
"167018","chr19",NA,41871383,1001
"167019","chr19","RPS19",41871383,1001
"167022","chr19","RPS19",41869748,233
"167053","chr19","RPS19",41861214,4
"167336","chr19","RPS19",41894180,1
"167364","chr19","LOC101930071",42397225,1
"167365","chr19","LOC101930071",42525851,1
"167366","chr19","RPS10P28",42670872,1
"167367","chr19",NA,43545369,1
"167368","chr19","ZNF155",43996238,1
"167369","chr19","ZNF234",44158986,1
"167370","chr19","ZNF226",44175237,1
"167371","chr19","BCL3",44760031,1
"167372","chr19","GEMIN7",45090896,13
"167373","chr19","GEMIN7",45090753,3
"167375","chr19","MARK4",45303688,5
"167377","chr19","POLR1G",45408622,1
"167378","chr19","VASP",45526965,2
"167379","chr19",NA,45577478,1
"167380","chr19","GAPDHP38",46559863,3
"167381","chr19","CALM3",46609284,113
"167405","chr19","CALM3",46608262,2
"167413","chr19",NA,46621026,1
"167414","chr19",NA,46642525,1
"167415","chr19","SAE1",47174178,1
"167416","chr19","SAE1",47210172,3
"167417","chr19","CCDC9",47281013,3
"167418","chr19","CCDC9",47275692,1
"167419","chr19","NAPA-AS1",47525947,1
"167420","chr19","NOP53",47750953,1
"167421","chr19","NOP53",47754585,1
"167422","chr19","SELENOW",47784669,9
"167423","chr19","SELENOW",47780120,1
"167426","chr19","SNAR-C5",47913165,9
"167428","chr19","SNAR-C2",47928931,12
"167432","chr19","SNAR-C3",47950409,31
"167439","chr19","SNAR-C1",47955796,10
"167442","chr19",NA,48244715,1
"167443","chr19","CARD8-AS1",48257186,1
"167444","chr19","CARD8-AS1",48258199,13
"167449","chr19","EMP3",48330535,20
"167450","chr19","EMP3",48327545,3
"167453","chr19","GRWD1",48453908,1
"167454","chr19","GRWD1",48454237,1
"167455","chr19","CYTH2",48479369,2
"167456","chr19",NA,48618682,1
"167457","chr19","SPHK2",48630705,1
"167458","chr19","PPP1R15A",48876035,1
"167459","chr19","NUCB1",48918784,2
"167460","chr19","NUCB1",48923260,2
"167461","chr19","BAX",48955781,1
"167462","chr19","BAX",48961780,4
"167463","chr19","FTL",48966828,10
"167464","chr19","FTL",48966865,82
"167467","chr19","FTL",49095992,21
"167471","chr19","FTL",48965410,3
"167482","chr19","FTL",49013401,5
"167488","chr19","CGB5",49045310,2
"167489","chr19","SNRNP70",49101456,1
"167490","chr19","SNRNP70",49127606,1
"167491","chr19","SUMO1P4",49276382,4
"167492","chr19","SUMO1P4",49275507,2
"167493","chr19","CD37",49340028,1
"167494","chr19","CD37",49337008,3
"167495","chr19","RPL13A",49491796,1805
"167514","chr19","RPL13A",49491522,260
"167517","chr19","RPL13A",49492295,46
"167542","chr19","RPL13A",49492263,13
"167603","chr19","RPL13A",49492218,2
"167608","chr19","RPL13A",49491096,4
"167745","chr19","RPL13A",49491464,1
"167816","chr19","RPL13A",49490263,2
"167828","chr19","RPL13A",49490575,9
"167915","chr19","RPL13A",49517042,1
"167959","chr19","RPL13A",49492172,1
"168010","chr19","RPS11",49499639,38
"168011","chr19","RPS11",49499674,313
"168017","chr19","RPS11",49498043,11
"168018","chr19","RPS11",49511866,55
"168033","chr19","RPS11",49497550,3
"168036","chr19","RPS11",49497266,4
"168037","chr19","RPS11",49497943,7
"168065","chr19","RPS11",49564487,2
"168066","chr19","RPS11",49499570,3
"168113","chr19","FCGRT",49526321,1
"168114","chr19","BCL2L12",49673899,2
"168115","chr19","PRMT1",49676435,1
"168116","chr19","AP2A1",49793060,5
"168117","chr19","TBC1D17",49884285,1
"168118","chr19","NR1H2",50382996,5
"168121","chr19","SIGLEC17P",51173524,5
"168124","chr19","CD33",51240066,1
"168125","chr19","ZNF175",51589723,1
"168126","chr19","LOC112268244",52029216,1
"168127","chr19",NA,52049899,1
"168128","chr19","RPL37P23",52143315,265
"168132","chr19","RPL37P23",52154068,5
"168136","chr19","RPL37P23",52143208,4
"168143","chr19","RPL37P23",52161672,11
"168147","chr19","RPL37P23",52143138,6
"168157","chr19","RPL37P23",52180889,5
"168201","chr19","ZNF480",52321730,5
"168202","chr19","ZNF808",52557691,1
"168203","chr19",NA,52633354,3
"168205","chr19",NA,52692893,1
"168206","chr19",NA,53386488,3
"168207","chr19","ZNF845",53354572,1
"168208","chr19","ZNF525",53380337,2
"168209","chr19","ZNF525",53386488,3
"168210","chr19","ZNF765-ZNF761",53529418,1
"168211","chr19","NDUFA3",54106930,52
"168219","chr19","RPS9",54207622,24
"168220","chr19","RPS9",54207561,1
"168223","chr19","RPS9",54206434,7
"168225","chr19","RPS9",54201608,3
"168226","chr19","RPS9",54201573,1
"168232","chr19","RPS9",54207658,4
"168236","chr19",NA,54488725,1
"168237","chr19","LAIR2",54510789,1
"168238","chr19",NA,55116654,1
"168239","chr19","RPL28",55388329,47
"168240","chr19","RPL28",55388363,451
"168243","chr19","RPL28",55386437,16
"168286","chr19","RPL28",55434690,1
"168287","chr19","RPL28",55391783,3
"168294","chr19","RPL28",55392098,6
"168304","chr19","RPL28",55386608,13
"168309","chr19","RPL28",55388034,3
"168310","chr19","RPL28",55393261,2
"168330","chr19","RPL28",55408878,1
"168333","chr19","RPL28",55552290,3
"168375","chr19","ZNF628",55477781,2
"168376","chr19",NA,56131753,1
"168377","chr19","ZNF583",56414377,1
"168378","chr19","ZNF71-SMIM17",56619321,1
"168379","chr19","ZNF547",57365153,5
"168380","chr19","ZNF547",57365187,2
"168381","chr19","ZNF547",57365371,1
"168382","chr19","ZNF547",57365291,3
"168384","chr19","ZNF547",57365340,3
"168385","chr19","ZNF274",58212584,1
"168386","chr19","ZNF544",58248628,1
"168387","chr19","ZNF8-ERVK3-1",58315175,12
"168388","chr19",NA,58347598,1
"168389","chr19",NA,58382229,1
"168390","chr19","RPS5",58394784,767
"168408","chr19","RPS5",58394594,12
"168414","chr19","RPS5",58394711,26
"168422","chr19","RPS5",58394822,22
"168433","chr19","RPS5",58394752,4
"168444","chr19","RPS5",58393481,2
"168540","chr19","RPS5",58388162,1
"168574","chr19","ZNF324B",58435632,1
"168575","chr19","LOC105372485",58499909,1
"168576","chr19","RPL23AP79",58599699,3
"168577","chr19","RPL23AP79",58599496,12
"168580","chr19",NA,58605173,2
"168581","chr20","NRSN2",354719,1
"168582","chr20","PSMF1",1165459,25
"168584","chr20","PSMF1",1163182,1
"168585","chr20","PSMF1",1135310,1
"168587","chr20","PSMF1",1166352,2
"168588","chr20","SDCBP2-AS1",1325530,1
"168589","chr20",NA,1629329,1
"168590","chr20","NOP56",2658348,1
"168591","chr20",NA,2825768,1
"168592","chr20","ITPA",3225221,1
"168593","chr20","MAVS",3873047,1
"168594","chr20","MAVS",3867310,2
"168595","chr20","MAVS",3870800,1
"168596","chr20","MAVS",3870887,1
"168597","chr20","PANK2",3923725,2
"168598","chr20","FTLP3",4024582,272
"168639","chr20","FTLP3",4024188,1
"168650","chr20","FTLP3",4024530,6
"168654","chr20","PRNP",4701570,2
"168655","chr20","LOC107985392",4816160,1
"168656","chr20",NA,5100929,1
"168657","chr20","SHLD1",5751693,6
"168658","chr20","SHLD1",5773455,2
"168660","chr20","SHLD1",5773418,3
"168661","chr20","LOC149844",6214764,1
"168662","chr20","LOC149844",6215453,1
"168663","chr20","MACROD2",14003793,8
"168665","chr20","SNRPB2",16741111,2
"168666","chr20","RPS27AP2",17517365,96
"168695","chr20","DSTN",17607339,2
"168696","chr20","MGME1",17991121,14
"168702","chr20",NA,18505100,7734
"168703","chr20","RPS19P1",18505100,7734
"169131","chr20","RPS19P1",18505044,6
"170873","chr20","RPS19P1",18626603,1
"170881","chr20","SEC23B",18561099,2
"170883","chr20","SMIM26",18569593,71
"170895","chr20","SMIM26",18569264,1
"170901","chr20","DTD1",18763879,32
"170912","chr20","NAA20",20033610,82
"170920","chr20","NAA20",20022475,1
"170924","chr20","RPL24P2",21115199,217
"170971","chr20","XRN2",21389460,2
"170972","chr20",NA,21560915,1
"170973","chr20","RPL41P1",21755565,993
"170987","chr20","RPL41P1",21755366,35
"171224","chr20","PYGB",25297994,2
"171225","chr20","GINS1",25507272,1
"171226","chr20","ZNF337-AS1",25634649,1
"171227","chr20","FRG1DP",29101552,1
"171228","chr20",NA,29102833,4
"171229","chr20","HM13",31544986,1
"171230","chr20","HM13",31527580,5
"171231","chr20","TPX2",31783827,2
"171232","chr20","POFUT1",32235029,1
"171233","chr20","POFUT1",32236713,1
"171234","chr20","ASXL1",32379848,1
"171235","chr20","LOC101929698",32511678,1
"171236","chr20","LOC101929698",32511866,1
"171237","chr20","RALY",34080247,4
"171239","chr20","RALY",34073835,1
"171240","chr20","DYNLRB1",34540928,17
"171242","chr20",NA,34733879,1
"171243","chr20","MMP24",35266364,1
"171244","chr20","ERGIC3",35557612,10
"171247","chr20","RPL37P1",35588620,2
"171248","chr20","ROMO1",35700930,8
"171249","chr20","ROMO1",35700965,31
"171254","chr20","RPF2P1",35753731,27
"171256","chr20","PHF20",35774680,7
"171257","chr20","PHF20",35801604,1
"171258","chr20","PHF20",35823471,18
"171263","chr20",NA,36613636,1
"171264","chr20","CTNNBL1",37872094,6
"171265","chr20",NA,41551363,1
"171266","chr20","SRSF6",43461673,2
"171267","chr20","SRSF6",43460651,1
"171268","chr20","SRSF6",43460880,1
"171269","chr20","SRSF6",43461536,5
"171270","chr20","SRSF6",43461261,1
"171273","chr20","IFT52",43594765,2
"171274","chr20","IFT52",43605168,1
"171275","chr20","RPL27AP",43657759,1
"171276","chr20",NA,43658882,1
"171277","chr20","MYBL2",43716437,1
"171278","chr20",NA,44624329,1
"171279","chr20","YWHAB",44906541,14
"171280","chr20","YWHAB",44908517,62
"171288","chr20","YWHAB",44905210,1
"171292","chr20","YWHAB",44974764,1
"171305","chr20","PABPC1L",44937411,1
"171306","chr20","SYS1",45368102,2
"171307","chr20","SYS1-DBNDD2",45410585,1
"171308","chr20","PIGT",45423056,1
"171309","chr20","PIGT",45426227,1
"171310","chr20",NA,45640754,1
"171311","chr20","UBE2C",45816935,10
"171314","chr20","UBE2C",45815557,1
"171316","chr20","ARPC3P1",49135216,615
"171352","chr20","ARPC3P1",49153765,51
"171391","chr20","ARPC3P1",49181797,4
"171479","chr20","DDX27",49223011,1
"171480","chr20","DDX27",49224993,1
"171481","chr20","ZFAS1",49289244,45
"171483","chr20","ZFAS1",49289207,4
"171487","chr20","ZFAS1",49279184,2
"171490","chr20","ZFAS1",49289168,2
"171495","chr20","ZFAS1",49345339,1
"171499","chr20","ZFAS1",49291012,1
"171500","chr20","ZFAS1",49280541,1
"171502","chr20","ZFAS1",49289083,2
"171503","chr20","RNF114",49949294,1
"171504","chr20","PTPN1",50584571,2
"171505","chr20","BCAS4",50877164,2
"171507","chr20",NA,50891580,1
"171508","chr20",NA,51542210,1
"171509","chr20","LOC124904934",53850274,3
"171511","chr20","LOC124904934",53850125,1
"171512","chr20",NA,53941567,1
"171513","chr20","PFDN4",54219384,11
"171514","chr20","PFDN4",54219589,1
"171516","chr20","PFDN4",54219181,3
"171517","chr20","PFDN4",54219626,1
"171518","chr20","PFDN4",54219952,2
"171519","chr20","PFDN4",54219325,1
"171520","chr20","DOK5",54495155,2
"171521","chr20","RPL12P4",55075115,16176
"171522","chr20","RPL12P4",55074952,201
"171546","chr20","RPL12P4",55074676,12
"171724","chr20","RPL12P4",55074756,8
"171725","chr20","RPL12P4",55075233,120
"174823","chr20","RPL12P4",55134975,2
"175910","chr20","FAM210B",56366458,1
"175911","chr20","RTF2",56518866,6
"175912","chr20","RTF2",56536518,2
"175914","chr20","RTF2",56474764,1
"175915","chr20","FAM209A",56536518,2
"175916","chr20","RPS4XP3",56602115,1
"175917","chr20","STX16-NPEPL1",58677687,1
"175918","chr20","STX16-NPEPL1",58679485,2
"175919","chr20","GNAS",58903570,1
"175920","chr20","ZNF831",59147962,1
"175921","chr20","ZNF831",59148051,2
"175922","chr20","MIR646HG",60250019,1
"175923","chr20","ADRM1",62308708,1
"175924","chr20","RPS21",62388343,11
"175925","chr20","RPS21",62388506,399
"175928","chr20","RPS21",62387914,13
"175938","chr20","RPS21",62388534,6
"175943","chr20","RPS21",62387870,11
"175947","chr20","RPS21",62388476,17
"175956","chr20","RPS21",62387652,11
"176029","chr20","GID8",62945645,14
"176032","chr20","LIME1",63738663,1
"176033","chr20","TPD52L2",63890418,21
"176034","chr20","TPD52L2",63891527,2
"176037","chr20","PRPF6",63981264,3
"176039","chr20","PRPF6",63983179,1
"176040","chr20","TCEA2",64064108,1
"176041","chr21","LOC124900468",5057022,2
"176043","chr21",NA,5113215,1
"176044","chr21","LINC03104",5591224,5
"176045","chr21",NA,6128973,1
"176046","chr21",NA,6329697,1
"176047","chr21",NA,6321817,13
"176051","chr21",NA,6349985,1
"176054","chr21","LOC102724652",6536952,3
"176055","chr21","LOC102724843",7086450,6
"176056","chr21","LINC03105",7468228,5
"176057","chr21","LOC124904991",7617475,2
"176058","chr21","LOC102723553",7758628,201
"176081","chr21","LOC102723553",7772244,14
"176107","chr21","LOC124904993",8223708,14
"176111","chr21",NA,8204251,2
"176112","chr21","RNA45SN2",8210169,73
"176119","chr21","RNA45SN2",8254290,13
"176127","chr21","RNA45SN2",8211024,29
"176128","chr21","RNA45SN2",8254375,2
"176135","chr21","RNA45SN2",8210444,4
"176139","chr21","RNA45SN2",8210656,22
"176143","chr21","RNA45SN2",8210823,15
"176146","chr21","RNA45SN2",8210536,5
"176147","chr21","RNA45SN2",8211168,21
"176150","chr21","RNA45SN2",8210708,7
"176157","chr21","RNA45SN2",8211296,29
"176166","chr21","RNA45SN2",8210907,11
"176167","chr21","RNA45SN2",8211425,3
"176196","chr21","RNA45SN2",8211495,4
"176197","chr21","RNA45SN2",8212705,285
"176212","chr21","RNA45SN2",8255664,1
"176222","chr21","RNA45SN2",8214081,33
"176223","chr21","RNA45SN2",8217714,11
"176225","chr21","RNA45SN2",8214297,46
"176235","chr21","RNA45SN2",8215654,4
"176236","chr21","RNA45SN2",8213993,10
"176237","chr21","RNA45SN2",8214208,22
"176240","chr21","RNA45SN2",8214353,5
"176248","chr21","RNA45SN2",8215443,1
"176249","chr21","RNA45SN2",8215316,4
"176251","chr21","RNA45SN2",8215403,1
"176252","chr21","RNA45SN2",8215558,1
"176255","chr21","RNA45SN2",8215821,7
"176256","chr21","RNA45SN2",8215880,5
"176258","chr21","RNA45SN2",8215755,16
"176262","chr21","RNA45SN2",8216256,5
"176263","chr21","RNA45SN2",8216312,10
"176264","chr21","RNA45SN2",8216778,7
"176266","chr21","RNA45SN2",8216377,2
"176267","chr21","RNA45SN2",8216582,4
"176269","chr21","RNA45SN2",8216621,5
"176273","chr21","RNA45SN2",8217813,13
"176275","chr21","RNA45SN2",8217643,1
"176281","chr21","RNA45SN2",8218355,21
"176282","chr21","RNA45SN2",8218520,98
"176301","chr21","RNA45SN2",8218848,3
"176302","chr21","RNA45SN2",8218933,23
"176304","chr21",NA,8223708,14
"176305","chr21",NA,8255195,39
"176306","chr21",NA,8250316,1
"176307","chr21","RNA18SP5",8254075,1
"176308","chr21","RNA18SP5",8254290,13
"176309","chr21","RNA18SP5",8393113,33
"176311","chr21","RNA18SP5",8393285,37
"176312","chr21","RNA18SP5",8254470,1
"176313","chr21","RNA18SP5",8254407,1
"176314","chr21","RNA18SP5",8254751,3
"176315","chr21","RNA18SP5",8255016,9
"176317","chr21","RNA18SP5",8254926,3
"176318","chr21","RNA18SP5",8254716,1
"176319","chr21","RNA18SP5",8255195,39
"176320","chr21","RNA18SP5",8254872,24
"176327","chr21","RNA18SP5",8255364,13
"176350","chr21","RNA18SP5",8255482,1
"176351","chr21","RNA5-8SP10",8256911,289
"176360","chr21","RNA5-8SP10",8394478,5
"176375","chr21","LOC110467529",8258323,15
"176376","chr21","LOC110467529",8258528,40
"176380","chr21","LOC110467529",8259890,3
"176382","chr21","LOC110467529",8258440,17
"176393","chr21","LOC110467529",8260715,8
"176394","chr21","LOC110467529",8259545,4
"176397","chr21","LOC110467529",8260077,14
"176399","chr21","LOC110467529",8259984,19
"176405","chr21","LOC110467529",8260485,3
"176406","chr21","LOC110467529",8260602,4
"176407","chr21","LOC110467529",8260552,6
"176409","chr21","LOC110467529",8260812,4
"176411","chr21","LOC110467529",8260850,8
"176412","chr21","LOC110467529",8260910,9
"176414","chr21",NA,8406707,15
"176418","chr21",NA,8387298,2
"176419","chr21","RNA45SN3",8389154,1
"176420","chr21","RNA45SN3",8393113,33
"176421","chr21","RNA45SN3",8393285,37
"176424","chr21","RNA45SN3",8393486,6
"176426","chr21","RNA45SN3",8437357,20
"176432","chr21","RNA45SN3",8437492,25
"176447","chr21","RNA45SN3",8393700,22
"176449","chr21","RNA45SN3",8393860,20
"176452","chr21","RNA45SN3",8394183,21
"176453","chr21","RNA45SN3",8393944,11
"176455","chr21","RNA45SN3",8393577,4
"176456","chr21","RNA45SN3",8393753,6
"176461","chr21","RNA45SN3",8394059,29
"176465","chr21","RNA45SN3",8394332,32
"176503","chr21","RNA45SN3",8395730,298
"176512","chr21","RNA45SN3",8438696,2
"176520","chr21","RNA45SN3",8397119,33
"176521","chr21","RNA45SN3",8444977,10
"176524","chr21","RNA45SN3",8397349,47
"176527","chr21","RNA45SN3",8397027,12
"176535","chr21","RNA45SN3",8397255,22
"176536","chr21","RNA45SN3",8398697,2
"176547","chr21","RNA45SN3",8398477,1
"176548","chr21","RNA45SN3",8399543,2
"176549","chr21","RNA45SN3",8398437,2
"176551","chr21","RNA45SN3",8398594,2
"176552","chr21","RNA45SN3",8398885,17
"176554","chr21","RNA45SN3",8398777,10
"176560","chr21","RNA45SN3",8443840,8
"176561","chr21","RNA45SN3",8399016,3
"176562","chr21","RNA45SN3",8399346,11
"176563","chr21","RNA45SN3",8399815,11
"176566","chr21","RNA45SN3",8399613,5
"176567","chr21","RNA45SN3",8399421,1
"176568","chr21","RNA45SN3",8399473,13
"176572","chr21","RNA45SN3",8399722,10
"176573","chr21","RNA45SN3",8400751,13
"176574","chr21","RNA45SN3",8400888,1
"176576","chr21","RNA45SN3",8400688,4
"176578","chr21","RNA45SN3",8400843,8
"176584","chr21","RNA45SN3",8401393,17
"176585","chr21","RNA45SN3",8401558,100
"176587","chr21","RNA45SN3",8401278,15
"176611","chr21","RNA45SN3",8401887,3
"176612","chr21","RNA45SN3",8401972,20
"176615","chr21","RNA45SN1",8433341,1
"176616","chr21","RNA45SN1",8437357,20
"176619","chr21","RNA45SN1",8437492,25
"176626","chr21","RNA45SN1",8437261,5
"176632","chr21","RNA45SN1",8437926,26
"176634","chr21","RNA45SN1",8438089,19
"176635","chr21","RNA45SN1",8437791,5
"176636","chr21","RNA45SN1",8438416,18
"176641","chr21","RNA45SN1",8438277,29
"176645","chr21","RNA45SN1",8438542,23
"176651","chr21","RNA45SN1",8438652,1
"176678","chr21","RNA45SN1",8438740,5
"176679","chr21","RNA45SN1",8439957,300
"176682","chr21","RNA45SN1",8439902,1
"176712","chr21","RNA45SN1",8441343,84
"176713","chr21","RNA45SN1",8441466,28
"176714","chr21","RNA45SN1",8444977,10
"176717","chr21","RNA45SN1",8441569,56
"176718","chr21","RNA45SN1",8441249,35
"176759","chr21","RNA45SN1",8442706,1
"176760","chr21","RNA45SN1",8443780,4
"176761","chr21","RNA45SN1",8442579,3
"176763","chr21","RNA45SN1",8442666,2
"176764","chr21","RNA45SN1",8442821,1
"176765","chr21","RNA45SN1",8443141,6
"176766","chr21","RNA45SN1",8443084,6
"176767","chr21","RNA45SN1",8443020,18
"176775","chr21","RNA45SN1",8443708,12
"176776","chr21","RNA45SN1",8443525,5
"176777","chr21","RNA45SN1",8443579,16
"176780","chr21","RNA45SN1",8443634,3
"176784","chr21","RNA45SN1",8443840,8
"176787","chr21","RNA45SN1",8443890,7
"176789","chr21","RNA45SN1",8444041,12
"176790","chr21","RNA45SN1",8443952,7
"176792","chr21","RNA45SN1",8445083,11
"176796","chr21","RNA45SN1",8444916,5
"176802","chr21","RNA45SN1",8445625,16
"176803","chr21","RNA45SN1",8445791,102
"176827","chr21","RNA45SN1",8446109,4
"176828","chr21","RNA45SN1",8446202,30
"176832","chr21",NA,8450897,3
"176833","chr21",NA,8988750,3
"176834","chr21",NA,8988671,2
"176835","chr21","LOC101930100",9368912,3
"176836","chr21","LOC101930100",9372861,1
"176837","chr21",NA,10137209,6
"176840","chr21","LOC105377134",14088794,1
"176841","chr21","ERLEC1P1",14100557,1
"176842","chr21","LOC105369304",14393521,2
"176844","chr21","SAMSN1-AS1",14598755,1
"176845","chr21","LOC124900465",18027998,1
"176846","chr21","LOC124900465",17917402,1
"176847","chr21","CHODL",18266650,1
"176848","chr21","PPIAP22",18858412,866
"176858","chr21","PPIAP22",18858508,3
"176880","chr21","PPIAP22",18858286,6
"176928","chr21","PPIAP22",18857960,2
"176950","chr21","PPIAP22",18891969,3
"176968","chr21",NA,20317985,2
"176969","chr21","RPL13AP7",25362366,333
"176971","chr21","RPL13AP7",25362936,1982
"176972","chr21","RPL13AP7",25404251,202
"177065","chr21","RPL13AP7",25362781,2
"177104","chr21","RPL13AP7",25362905,19
"177243","chr21","RPL13AP7",25410939,3
"177248","chr21","RPL13AP7",25362085,7
"177397","chr21","RPL13AP7",25361941,1
"177571","chr21","GABPA",25772459,3
"177572","chr21",NA,27420915,1
"177573","chr21","SOD1",31668639,38
"177574","chr21","SOD1",31663861,4
"177575","chr21","SOD1",31667377,2
"177576","chr21","SOD1",31676747,1
"177577","chr21","SOD1",31717808,3
"177578","chr21","SOD1",31666520,1
"177579","chr21","SOD1",31668697,3
"177581","chr21","PAXBP1-AS1",32732485,1
"177582","chr21","IFNAR2-IL10RB",33297236,2
"177583","chr21","IFNAR2-IL10RB",33297205,2
"177585","chr21","IFNGR2",33437519,5
"177586","chr21","SON",33549604,12
"177587","chr21","LINC00649",33938347,1
"177588","chr21",NA,33978444,1
"177589","chr21","MRPS6",34142961,9
"177592","chr21","MRPS6",34218096,2
"177593","chr21","MRPS6",34166241,6
"177594","chr21","MRPS6",34143007,29
"177596","chr21","MRPS6",34095151,2
"177605","chr21","SMIM11",34389132,3
"177606","chr21",NA,35013582,2
"177607","chr21","MEMO1P1",36131945,61
"177610","chr21","MEMO1P1",36131841,6
"177614","chr21","MORC3",36323445,1
"177615","chr21",NA,39015106,1
"177616","chr21","RPL23AP12",39128089,28
"177627","chr21","GET1-SH3BGR",39397769,12
"177631","chr21","MX2",41367309,2
"177632","chr21","MX1",41448494,1
"177633","chr21","UBASH3A",42447676,10
"177634","chr21","UBASH3A",42404032,1
"177635","chr21","UBASH3A",42447585,6
"177636","chr21","UBASH3A",42407598,1
"177637","chr21","UBASH3A",42440378,1
"177638","chr21","UBASH3A",42463799,1
"177640","chr21","UBASH3A",42423053,1
"177641","chr21","UBASH3A",42423264,1
"177645","chr21","NDUFV3",42911273,1
"177646","chr21","PKNOX1",43030171,1
"177647","chr21","H2BC12L",43566158,1
"177648","chr21","AGPAT3",43979347,2
"177650","chr21","GATD3",44145693,3
"177651","chr21","PFKL",44327355,3
"177653","chr21",NA,44555280,1
"177654","chr21","ITGB2-AS1",44923626,1
"177655","chr21","SLX9",44976962,1
"177656","chr21","PCBP3",45656704,1
"177657","chr21","YBEY",46294795,4
"177658","chr21","YBEY",46293518,1
"177659","chr21","YBEY",46293666,1
"177661","chr21","PRMT2",46659538,1
"177662","chr21","PRMT2",46643630,1
"177663","chr21","RPL23AP4",46691502,1
"177664","chr22",NA,12626713,7
"177666","chr22","PABPC1P9",16426499,1
"177667","chr22",NA,16578099,2
"177668","chr22","BCL2L13",17728722,1
"177669","chr22","LINC00528",17779479,2
"177670","chr22","LINC00528",17778207,2
"177671","chr22","USP18",18177391,55
"177676","chr22","GGTLC5P",18346063,3
"177677","chr22","FAM247D",18361190,4
"177678","chr22",NA,18395032,4
"177679","chr22","TMEM191B",18530572,4
"177681","chr22",NA,18644645,4
"177682","chr22","E2F6P1",18835643,8
"177684","chr22","DGCR6",18912056,1
"177685","chr22",NA,19056568,1
"177686","chr22","MRPL40",19436053,7
"177687","chr22","MRPL40",19435858,1
"177688","chr22","CDC45",19520614,4
"177689","chr22","RPL7AP70",19793176,21
"177690","chr22","RPL7AP70",19793096,26
"177694","chr22","RPL7AP70",19793150,5
"177696","chr22","RPL7AP70",19830314,1
"177702","chr22","COMT",19969001,3
"177703","chr22","COMT",19969028,5
"177705","chr22",NA,20314548,1
"177706","chr22","BCRP2",21122278,7
"177707","chr22","RIMBP3B",21389170,1
"177708","chr22","TMEM191C",21469934,4
"177710","chr22","UBE2L3",21621874,828
"177760","chr22","UBE2L3",21622925,6
"177844","chr22","PPIL2",21666123,1
"177845","chr22","PPIL2",21697893,2
"177846","chr22","IGL",22310520,2
"177847","chr22","IGL",22307388,3
"177848","chr22","IGL",22309692,2
"177849","chr22","IGL",22638669,15
"177850","chr22","BCR",23315921,1
"177851","chr22","BCR",23318029,20
"177853","chr22","RGL4",23699158,116
"177893","chr22","MIF",23895199,86
"177894","chr22","MIF",23918760,24
"177906","chr22","DDTL",23967759,5
"177907","chr22","DDTL",23968231,3
"177910","chr22","GSTT2",23983916,1
"177911","chr22","SPECC1L-ADORA2A",24442340,1
"177912","chr22","SNRPD3",24572182,58
"177913","chr22","SNRPD3",24572108,57
"177922","chr22","SNRPD3",24572773,1
"177932","chr22","SNRPD3",24557754,3
"177933","chr22","GGT1",24607978,1
"177934","chr22","BCRP3",24653352,21
"177936","chr22","ARL5AP4",24690607,4
"177937","chr22","CRIP1P4",24712667,11
"177942","chr22","TOP1P2",24766042,1
"177943","chr22","CRYBB2P1",25461656,1
"177944","chr22","CRYBB2P1",25457562,1
"177945","chr22","ASPHD2",26443578,1
"177946","chr22","HMGB1P10",26561576,107
"177947","chr22","HMGB1P10",26561276,60
"177965","chr22","HMGB1P10",26561245,5
"177969","chr22","TTC28-AS1",27986369,1
"177970","chr22","TTC28-AS1",27924784,3
"177971","chr22","TTC28-AS1",27990105,1
"177972","chr22","TTC28-AS1",27935800,8
"177973","chr22","TTC28-AS1",27924752,2
"177974","chr22","TTC28-AS1",27924947,3
"177978","chr22","TTC28-AS1",27922117,1
"177979","chr22","TTC28-AS1",27922140,4
"177980","chr22","TTC28-AS1",27924694,2
"177982","chr22",NA,28822203,1
"177983","chr22","EWSR1",29278217,1
